A;AGRICOLTURA, SILVICOLTURA E PESCA;
A.01;COLTIVAZIONI AGRICOLE E PRODUZIONE DI PRODOTTI ANIMALI, CACCIA E SERVIZI CONNESSI;
A.01.1;COLTIVAZIONE DI COLTURE AGRICOLE NON PERMANENTI;
A.01.11;Coltivazione di cereali (escluso il riso), legumi da granella e semi oleosi;
A.01.11.1;Coltivazione di cereali (escluso il riso);
A.01.11.10;Coltivazione di cereali (escluso il riso);
A.01.11.2;Coltivazione di semi oleosi;
A.01.11.20;Coltivazione di semi oleosi;
A.01.11.3;Coltivazione di legumi da granella;
A.01.11.30;Coltivazione di legumi da granella;
A.01.11.4;Coltivazioni miste di cereali, legumi da granella e semi oleosi;
A.01.11.40;Coltivazioni miste di cereali, legumi da granella e semi oleosi;
A.01.12;Coltivazione di riso;
A.01.12.0;Coltivazione di riso;
A.01.12.00;Coltivazione di riso;
A.01.13;Coltivazione di ortaggi e meloni, radici e tuberi;
A.01.13.1;Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in piena aria (escluse barbabietola da zucchero e patate);
A.01.13.10;Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in piena aria (escluse barbabietola da zucchero e patate);
A.01.13.2;Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in colture protette (escluse barbabietola da zucchero e patate);
A.01.13.20;Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in colture protette (escluse barbabietola da zucchero e patate);
A.01.13.3;Coltivazione di barbabietola da zucchero;
A.01.13.30;Coltivazione di barbabietola da zucchero;
A.01.13.40;Coltivazione di patate;
A.01.14;Coltivazione di canna da zucchero;
A.01.13.4;Coltivazione di patate;
A.01.14.0;Coltivazione di canna da zucchero;
A.01.14.00;Coltivazione di canna da zucchero;
A.01.15;Coltivazione di tabacco;
A.01.15.0;Coltivazione di tabacco;
A.01.15.00;Coltivazione di tabacco;
A.01.16;Coltivazione di piante tessili;
A.01.16.0;Coltivazione di piante per la preparazione di fibre tessili;
A.01.16.00;Coltivazione di piante per la preparazione di fibre tessili;
A.01.19;Floricoltura e coltivazione di altre colture non permanenti;
A.01.19.1;Coltivazione di fiori in piena aria;
A.01.19.10;Coltivazione di fiori in piena aria;
A.01.19.2;Coltivazione di fiori in colture protette;
A.01.19.20;Coltivazione di fiori in colture protette;
A.01.19.9;Coltivazione di piante da foraggio e di altre colture non permanenti;
A.01.19.90;Coltivazione di piante da foraggio e di altre colture non permanenti;
A.01.2;COLTIVAZIONE DI COLTURE PERMANENTI;
A.01.21;Coltivazione di uva;
A.01.21.0;Coltivazione di uva;
A.01.21.00;Coltivazione di uva;
A.01.22;Coltivazione di frutta di origine tropicale e subtropicale;
A.01.22.0;Coltivazione di frutta di origine tropicale e subtropicale;
A.01.22.00;Coltivazione di frutta di origine tropicale e subtropicale;
A.01.23;Coltivazione di agrumi;
A.01.23.0;Coltivazione di agrumi;
A.01.23.00;Coltivazione di agrumi;
A.01.24;Coltivazione di pomacee e frutta a nocciolo;
A.01.24.0;Coltivazione di pomacee e frutta a nocciolo;
A.01.24.00;Coltivazione di pomacee e frutta a nocciolo;
A.01.25;Coltivazione di altri alberi da frutta, frutti di bosco e in guscio;
A.01.25.0;Coltivazione di altri alberi da frutta, frutti di bosco e frutta in guscio;
A.01.25.00;Coltivazione di altri alberi da frutta, frutti di bosco e frutta in guscio;
A.01.26;Coltivazione di frutti oleosi;
A.01.26.0;Coltivazione di frutti oleosi;
A.01.26.00;Coltivazione di frutti oleosi;
A.01.27;Coltivazione di piante per la produzione di bevande;
A.01.27.0;Coltivazione di piante per la produzione di bevande;
A.01.27.00;Coltivazione di piante per la produzione di bevande;
A.01.28;Coltivazione di spezie, piante aromatiche e farmaceutiche;
A.01.28.0;Coltivazione di spezie, piante aromatiche e farmaceutiche;
A.01.28.00;Coltivazione di spezie, piante aromatiche e farmaceutiche;
A.01.29;Coltivazione di altre colture permanenti (inclusi alberi di Natale);
A.01.29.0;Coltivazione di altre colture permanenti (inclusi alberi di Natale);
A.01.29.00;Coltivazione di altre colture permanenti (inclusi alberi di Natale);
A.01.3;RIPRODUZIONE DELLE PIANTE;
A.01.30;Riproduzione delle piante;
A.01.30.0;Riproduzione delle piante;
A.01.30.00;Riproduzione delle piante;
A.01.4;ALLEVAMENTO DI ANIMALI;
A.01.41;Allevamento di bovini da latte;
A.01.41.0;Allevamento di bovini e bufale da latte, produzione di latte crudo;
A.01.41.00;Allevamento di bovini e bufale da latte, produzione di latte crudo;
A.01.42;Allevamento di altri bovini e di bufalini;
A.01.42.0;Allevamento di bovini e bufalini da carne;
A.01.42.00;Allevamento di bovini e bufalini da carne;
A.01.43;Allevamento di cavalli e altri equini;
A.01.43.0;Allevamento di cavalli e altri equini;
A.01.43.00;Allevamento di cavalli e altri equini;
A.01.44;Allevamento di cammelli e camelidi;
A.01.44.0;Allevamento di cammelli e camelidi;
A.01.44.00;Allevamento di cammelli e camelidi;
A.01.45;Allevamento di ovini e caprini;
A.01.45.0;Allevamento di ovini e caprini;
A.01.45.00;Allevamento di ovini e caprini;
A.01.46;Allevamento di suini;
A.01.46.0;Allevamento di suini;
A.01.46.00;Allevamento di suini;
A.01.47;Allevamento di pollame;
A.01.47.0;Allevamento di pollame;
A.01.47.00;Allevamento di pollame;
A.01.49;Allevamento di altri animali;
A.01.49.1;Allevamento di conigli;
A.01.49.10;Allevamento di conigli;
A.01.49.2;Allevamento di animali da pelliccia;
A.01.49.20;Allevamento di animali da pelliccia;
A.01.49.3;Apicoltura;
A.01.49.30;Apicoltura;
A.01.49.4;Bachicoltura;
A.01.49.40;Bachicoltura;
A.01.49.9;Allevamento di altri animali nca;
A.01.49.90;Allevamento di altri animali nca;
A.01.5;COLTIVAZIONI AGRICOLE ASSOCIATE ALL'ALLEVAMENTO DI ANIMALI: ATTIVITÀ MISTA;
A.01.50;Coltivazioni agricole associate all'allevamento di animali: attività mista;
A.01.50.0;Coltivazioni agricole associate all'allevamento di animali: attività mista;
A.01.50.00;Coltivazioni agricole associate all'allevamento di animali: attività mista;
A.01.6;attività DI SUPPORTO ALL'AGRICOLTURA E attività SUCCESSIVE ALLA RACCOLTA;
A.01.61;Attività di supporto alla produzione vegetale;
A.01.61.0;Attività di supporto alla produzione vegetale;
A.01.61.00;Attività di supporto alla produzione vegetale;
A.01.62;Attività di supporto alla produzione animale;
A.01.62.0;Attività di supporto alla produzione animale (esclusi i servizi veterinari);
A.01.62.01;Attività dei maniscalchi;
A.01.62.09;Altre attività di supporto alla produzione animale (esclusi i servizi veterinari);
A.01.63;Attività successive alla raccolta;
A.01.63.0;Attività che seguono la raccolta;
A.01.63.00;Attività che seguono la raccolta;
A.01.64;Lavorazione delle sementi per la semina;
A.01.64.0;Lavorazione delle sementi per la semina;
A.01.64.01;Pulitura e cernita di semi e granaglie;
A.01.64.09;Altre lavorazioni delle sementi per la semina;
A.01.7;CACCIA, CATTURA DI ANIMALI E SERVIZI CONNESSI;
A.01.70;Caccia, cattura di animali e servizi connessi;
A.01.70.0;Caccia, cattura di animali e servizi connessi;
A.01.70.00;Caccia, cattura di animali e servizi connessi;
A.02;SILVICOLTURA ED UTILIZZO DI AREE FORESTALI;
A.02.1;SILVICOLTURA ED ALTRE attività FORESTALI;
A.02.10;Silvicoltura ed altre attività forestali;
A.02.10.0;Silvicoltura e altre attività forestali;
A.02.10.00;Silvicoltura e altre attività forestali;
A.02.2;UTILIZZO DI AREE FORESTALI;
A.02.20;Utilizzo di aree forestali;
A.02.20.0;Utilizzo di aree forestali;
A.02.20.00;Utilizzo di aree forestali;
A.02.3;RACCOLTA DI PRODOTTI SELVATICI NON LEGNOSI;
A.02.30;Raccolta di prodotti selvatici non legnosi;
A.02.30.0;Raccolta di prodotti selvatici non legnosi;
A.02.30.00;Raccolta di prodotti selvatici non legnosi;
A.02.4;SERVIZI DI SUPPORTO PER LA SILVICOLTURA;
A.02.40;Servizi di supporto per la silvicoltura;
A.02.40.0;Servizi di supporto per la silvicoltura;
A.02.40.00;Servizi di supporto per la silvicoltura;
A.03;PESCA E ACQUACOLTURA;
A.03.1;PESCA;
A.03.11;Pesca marina;
